Domain,Question,,,,,,,,,,,,Answer
System Administration,What is the role of a system administrator?,A system administrator (sysadmin) is responsible for managing, configuring, and maintaining a company’s computer systems and servers, ensuring they are secure, efficient, and always operational.,,,,,,A system administrator (sysadmin) is responsible for managing  configuring  and maintaining a company’s computer systems and servers  ensuring they are secure  efficient  and always operational.
System Administration,What is the difference between system administration and network administration?,System administration focuses on managing servers, operating systems, and system resources, while network administration focuses on managing and configuring network infrastructure, such as routers, switches, and firewalls.,,,,,System administration focuses on managing servers  operating systems  and system resources  while network administration focuses on managing and configuring network infrastructure  such as routers  switches  and firewalls.
System Administration,What is a Linux system?,Linux is an open-source operating system that is widely used for servers, workstations, and embedded systems due to its stability, security, and flexibility.,,,,,,,Linux is an open-source operating system that is widely used for servers  workstations  and embedded systems due to its stability  security  and flexibility.
System Administration,What are the basic commands for file management in Linux?,Common file management commands in Linux include `ls` (list files), `cp` (copy), `mv` (move), `rm` (remove), and `chmod` (change file permissions).,,,,,,,Common file management commands in Linux include `ls` (list files)  `cp` (copy)  `mv` (move)  `rm` (remove)  and `chmod` (change file permissions).
System Administration,What is a shell in Linux?,A shell is a command-line interface used to interact with the operating system. Examples include the Bash shell, Zsh, and Fish.,,,,,,,,,A shell is a command-line interface used to interact with the operating system. Examples include the Bash shell  Zsh  and Fish.
System Administration,What are the different types of user accounts in Linux?,In Linux, there are three types of user accounts: root (administrator), regular users, and service accounts.,,,,,,,,In Linux  there are three types of user accounts: root (administrator)  regular users  and service accounts.
System Administration,What is a kernel in Linux?,The kernel is the core part of the operating system responsible for managing hardware resources, process management, and system security.,,,,,,,,,The kernel is the core part of the operating system responsible for managing hardware resources  process management  and system security.
System Administration,What is a package manager in Linux?,A package manager is a tool used to install, update, and remove software packages in Linux. Examples include `apt` (Debian/Ubuntu), `yum` (RHEL/CentOS), and `zypper` (openSUSE).,,,,,,,A package manager is a tool used to install  update  and remove software packages in Linux. Examples include `apt` (Debian/Ubuntu)  `yum` (RHEL/CentOS)  and `zypper` (openSUSE).
System Administration,What is a swap space in Linux?,Swap space is a reserved part of a hard drive used to extend the system's virtual memory. It is used when physical RAM is full.,,,,,,,,,,,Swap space is a reserved part of a hard drive used to extend the system's virtual memory. It is used when physical RAM is full.
System Administration,What are system logs in Linux?,System logs are files that record events and processes happening on a system. Common log files include `/var/log/syslog` and `/var/log/messages`.,,,,,,,,,,,System logs are files that record events and processes happening on a system. Common log files include `/var/log/syslog` and `/var/log/messages`.
System Administration,What is the `sudo` command in Linux?,The `sudo` command allows a permitted user to execute a command as the superuser or another user, as specified by the system administrator.,,,,,,,,,,The `sudo` command allows a permitted user to execute a command as the superuser or another user  as specified by the system administrator.
System Administration,What is a process in Linux?,A process is an instance of a running program. It has its own memory space and resources, and Linux can run multiple processes simultaneously.,,,,,,,,,,A process is an instance of a running program. It has its own memory space and resources  and Linux can run multiple processes simultaneously.
System Administration,What is the `ps` command in Linux?,The `ps` command in Linux displays information about currently running processes, such as process IDs, memory usage, and CPU usage.,,,,,,,,The `ps` command in Linux displays information about currently running processes  such as process IDs  memory usage  and CPU usage.
System Administration,What is the `top` command in Linux?,The `top` command provides real-time system performance information, including CPU usage, memory usage, and process information.,,,,,,,,The `top` command provides real-time system performance information  including CPU usage  memory usage  and process information.
System Administration,What is a service in Linux?,A service is a background process that runs on a system to perform tasks, such as managing web traffic (Apache) or handling database queries (MySQL).,,,,,,,,,,A service is a background process that runs on a system to perform tasks  such as managing web traffic (Apache) or handling database queries (MySQL).
System Administration,What is `systemd` in Linux?,`systemd` is a system and service manager for Linux operating systems, responsible for booting the system, starting services, and managing processes.,,,,,,,,`systemd` is a system and service manager for Linux operating systems  responsible for booting the system  starting services  and managing processes.
System Administration,What is the difference between `init` and `systemd`?,`init` is an older system and service manager, while `systemd` is a more modern alternative that provides faster boot times, better management, and parallel service startup.,,,,,,,,`init` is an older system and service manager  while `systemd` is a more modern alternative that provides faster boot times  better management  and parallel service startup.
System Administration,What is SSH?,SSH (Secure Shell) is a network protocol that provides secure remote access to a computer or server over an unsecured network.,,,,,,,,,,,SSH (Secure Shell) is a network protocol that provides secure remote access to a computer or server over an unsecured network.
System Administration,How do you set up a static IP address on Linux?,To set a static IP address, you need to modify the network configuration file (e.g., `/etc/network/interfaces` or `/etc/netplan/`) and specify the IP address, netmask, and gateway.,,,,,,,To set a static IP address  you need to modify the network configuration file (e.g.  `/etc/network/interfaces` or `/etc/netplan/`) and specify the IP address  netmask  and gateway.
System Administration,What is a cron job in Linux?,A cron job is a scheduled task that runs at specified intervals or times, managed by the cron daemon. It is configured through the crontab file.,,,,,,,,,,A cron job is a scheduled task that runs at specified intervals or times  managed by the cron daemon. It is configured through the crontab file.
System Administration,How do you restart a service in Linux?,You can restart a service using the command `sudo systemctl restart [service_name]`, where `[service_name]` is the name of the service you wish to restart.,,,,,,,,,,You can restart a service using the command `sudo systemctl restart [service_name]`  where `[service_name]` is the name of the service you wish to restart.
System Administration,What is a firewall?,A firewall is a network security system that monitors and controls incoming and outgoing network traffic based on predetermined security rules.,,,,,,,,,,,A firewall is a network security system that monitors and controls incoming and outgoing network traffic based on predetermined security rules.
System Administration,What is `iptables`?,`iptables` is a command-line utility used for configuring firewall rules in Linux. It is used to filter traffic and define security policies.,,,,,,,,,,,`iptables` is a command-line utility used for configuring firewall rules in Linux. It is used to filter traffic and define security policies.
System Administration,What is the `ufw` command in Linux?,`ufw` (Uncomplicated Firewall) is a simplified firewall management tool in Linux, used for configuring `iptables` rules with ease.,,,,,,,,,,`ufw` (Uncomplicated Firewall) is a simplified firewall management tool in Linux  used for configuring `iptables` rules with ease.
System Administration,What is DNS in Linux?,DNS (Domain Name System) is a protocol that translates domain names into IP addresses. It is configured in the `/etc/resolv.conf` file in Linux.,,,,,,,,,,,DNS (Domain Name System) is a protocol that translates domain names into IP addresses. It is configured in the `/etc/resolv.conf` file in Linux.
System Administration,What is NTP in Linux?,NTP (Network Time Protocol) is a protocol used to synchronize the system clock with remote time servers to ensure accurate system time.,,,,,,,,,,,NTP (Network Time Protocol) is a protocol used to synchronize the system clock with remote time servers to ensure accurate system time.
System Administration,What is the `df` command in Linux?,The `df` command in Linux shows disk space usage for all mounted filesystems, including the total space, used space, and available space.,,,,,,,,The `df` command in Linux shows disk space usage for all mounted filesystems  including the total space  used space  and available space.
System Administration,What is the `du` command in Linux?,The `du` (disk usage) command shows the disk usage of files and directories.,,,,,,,,,,,The `du` (disk usage) command shows the disk usage of files and directories.
System Administration,What is RAID?,RAID (Redundant Array of Independent Disks) is a technology used to combine multiple physical hard drives into one or more logical units for data redundancy and performance.,,,,,,,,,,,RAID (Redundant Array of Independent Disks) is a technology used to combine multiple physical hard drives into one or more logical units for data redundancy and performance.
