Domain,Question,,,,,,,,,,,,Answer
Back-End Development,What is Back-End Development?,Back-End Development involves building the server-side of web applications, focusing on databases, server logic, APIs, and ensuring the proper functioning of the front-end with the back-end.,,,,,,,Back-End Development involves building the server-side of web applications  focusing on databases  server logic  APIs  and ensuring the proper functioning of the front-end with the back-end.
Back-End Development,What programming languages are commonly used in Back-End Development?,Common programming languages for Back-End Development include Java, Python, Ruby, PHP, Node.js, and Go.,,,,,,Common programming languages for Back-End Development include Java  Python  Ruby  PHP  Node.js  and Go.
Back-End Development,What is a RESTful API?,A RESTful API is an architectural style for web services that uses HTTP requests to access and manipulate data, following the principles of stateless communication and using standard HTTP methods (GET, POST, PUT, DELETE).,,,,,,,A RESTful API is an architectural style for web services that uses HTTP requests to access and manipulate data  following the principles of stateless communication and using standard HTTP methods (GET  POST  PUT  DELETE).
Back-End Development,What is the difference between a monolithic architecture and a microservices architecture?,In monolithic architecture, the entire application is built as a single unit, whereas in microservices architecture, the application is broken into smaller, independent services that communicate with each other.,,,,,,,In monolithic architecture  the entire application is built as a single unit  whereas in microservices architecture  the application is broken into smaller  independent services that communicate with each other.
Back-End Development,What is a database?,A database is an organized collection of structured data, stored electronically and accessed via software to perform operations like querying, updating, and managing data.,,,,,,,,A database is an organized collection of structured data  stored electronically and accessed via software to perform operations like querying  updating  and managing data.
Back-End Development,What is SQL?,SQL (Structured Query Language) is a language used for managing and querying data in relational databases, allowing users to perform operations such as selecting, inserting, updating, and deleting data.,,,,,,,SQL (Structured Query Language) is a language used for managing and querying data in relational databases  allowing users to perform operations such as selecting  inserting  updating  and deleting data.
Back-End Development,What is NoSQL?,NoSQL is a type of database that provides flexible data storage and retrieval, and is used for handling unstructured data. It includes types like document-based, key-value, graph, and column-family databases.,,,,,,,NoSQL is a type of database that provides flexible data storage and retrieval  and is used for handling unstructured data. It includes types like document-based  key-value  graph  and column-family databases.
Back-End Development,What are the differences between SQL and NoSQL?,SQL databases are relational and store structured data in tables, while NoSQL databases are non-relational and handle unstructured or semi-structured data, often offering greater scalability.,,,,,,,,,SQL databases are relational and store structured data in tables  while NoSQL databases are non-relational and handle unstructured or semi-structured data  often offering greater scalability.
Back-End Development,What is a server?,A server is a machine or software system that provides services, resources, or data to other computers (clients) over a network.,,,,,,,,,A server is a machine or software system that provides services  resources  or data to other computers (clients) over a network.
Back-End Development,What is HTTP?,HTTP (Hypertext Transfer Protocol) is a protocol used to transfer data between clients (browsers) and servers on the web. It defines methods (GET, POST, etc.) to request and send data.,,,,,,,,,HTTP (Hypertext Transfer Protocol) is a protocol used to transfer data between clients (browsers) and servers on the web. It defines methods (GET  POST  etc.) to request and send data.
Back-End Development,What is middleware in web development?,Middleware is software that acts as an intermediary layer between the server and the client, processing requests before they reach the server or after the server sends a response.,,,,,,,,,,Middleware is software that acts as an intermediary layer between the server and the client  processing requests before they reach the server or after the server sends a response.
Back-End Development,What is the purpose of authentication and authorization in Back-End?,Authentication verifies the identity of a user, while authorization determines what actions or resources the authenticated user is allowed to access.,,,,,,,,,,Authentication verifies the identity of a user  while authorization determines what actions or resources the authenticated user is allowed to access.
Back-End Development,What is OAuth?,OAuth is an open standard for access delegation, commonly used to allow third-party applications to access a user's resources without sharing the user's credentials.,,,,,,,,,,OAuth is an open standard for access delegation  commonly used to allow third-party applications to access a user's resources without sharing the user's credentials.
Back-End Development,What is the difference between authentication and session management?,Authentication is the process of verifying a user's identity, while session management involves maintaining user-specific data, such as login state, during their interaction with the application.,,,,,,,,Authentication is the process of verifying a user's identity  while session management involves maintaining user-specific data  such as login state  during their interaction with the application.
Back-End Development,What is JWT (JSON Web Token)?,JWT is a compact and self-contained way to securely transmit information between parties as a JSON object. It is commonly used for authentication and information exchange in web applications.,,,,,,,,,,,JWT is a compact and self-contained way to securely transmit information between parties as a JSON object. It is commonly used for authentication and information exchange in web applications.
Back-End Development,What is a relational database?,A relational database is a database that stores data in tables with rows and columns, and the data in different tables is related using keys. Examples include MySQL and PostgreSQL.,,,,,,,,,,A relational database is a database that stores data in tables with rows and columns  and the data in different tables is related using keys. Examples include MySQL and PostgreSQL.
Back-End Development,What is an index in a database?,An index is a database object that improves the speed of data retrieval operations on a table at the cost of additional space and slower write operations.,,,,,,,,,,,An index is a database object that improves the speed of data retrieval operations on a table at the cost of additional space and slower write operations.
Back-End Development,What are stored procedures?,Stored procedures are sets of SQL statements that can be stored and executed on the database server, which help in optimizing repetitive tasks and ensuring security.,,,,,,,,,,Stored procedures are sets of SQL statements that can be stored and executed on the database server  which help in optimizing repetitive tasks and ensuring security.
Back-End Development,What is normalization in a database?,Normalization is the process of organizing data in a relational database to minimize redundancy and improve data integrity.,,,,,,,,,,,Normalization is the process of organizing data in a relational database to minimize redundancy and improve data integrity.
Back-End Development,What is a join in SQL?,A SQL join combines rows from two or more tables based on a related column, allowing users to query data from multiple tables in a single query.,,,,,,,,,,A SQL join combines rows from two or more tables based on a related column  allowing users to query data from multiple tables in a single query.
Back-End Development,What is an API endpoint?,An API endpoint is a specific URL where an API can be accessed by the client to interact with the back-end server, often used to perform CRUD (Create, Read, Update, Delete) operations on data.,,,,,,,An API endpoint is a specific URL where an API can be accessed by the client to interact with the back-end server  often used to perform CRUD (Create  Read  Update  Delete) operations on data.
Back-End Development,What is a web service?,A web service is a standardized way of integrating web applications over a network. It allows different applications to communicate and exchange data using protocols like HTTP, SOAP, and REST.,,,,,,,,,A web service is a standardized way of integrating web applications over a network. It allows different applications to communicate and exchange data using protocols like HTTP  SOAP  and REST.
Back-End Development,What is the difference between SOAP and REST?,SOAP (Simple Object Access Protocol) is a protocol for exchanging structured information in web services, while REST (Representational State Transfer) is an architectural style that uses HTTP for communication and typically uses JSON or XML for data exchange.,,,,,,,,,,SOAP (Simple Object Access Protocol) is a protocol for exchanging structured information in web services  while REST (Representational State Transfer) is an architectural style that uses HTTP for communication and typically uses JSON or XML for data exchange.
Back-End Development,What is the MVC architecture?,MVC (Model-View-Controller) is a design pattern used in web applications where the Model represents the data, the View is the user interface, and the Controller handles user input and updates the Model and View accordingly.,,,,,,,,,MVC (Model-View-Controller) is a design pattern used in web applications where the Model represents the data  the View is the user interface  and the Controller handles user input and updates the Model and View accordingly.
Back-End Development,What is load balancing?,Load balancing is the distribution of incoming network traffic across multiple servers to ensure that no single server becomes overwhelmed, improving the performance and availability of the application.,,,,,,,,,,Load balancing is the distribution of incoming network traffic across multiple servers to ensure that no single server becomes overwhelmed  improving the performance and availability of the application.
Back-End Development,What is a reverse proxy?,A reverse proxy is a server that sits between the client and the back-end servers, forwarding requests from clients to the appropriate server. It can be used for load balancing, security, and caching.,,,,,,,,A reverse proxy is a server that sits between the client and the back-end servers  forwarding requests from clients to the appropriate server. It can be used for load balancing  security  and caching.
Back-End Development,What is the role of a web framework?,A web framework is a software framework designed to simplify the development of web applications by providing built-in functionalities like routing, session management, and security.,,,,,,,,,A web framework is a software framework designed to simplify the development of web applications by providing built-in functionalities like routing  session management  and security.
Back-End Development,What are some popular back-end web frameworks?,Popular back-end frameworks include Django (Python), Express (Node.js), Ruby on Rails (Ruby), and Laravel (PHP).,,,,,,,,Popular back-end frameworks include Django (Python)  Express (Node.js)  Ruby on Rails (Ruby)  and Laravel (PHP).
Back-End Development,What is caching in web development?,Caching involves storing copies of frequently accessed data in memory, reducing the need to fetch it from the database or compute it again, improving performance.,,,,,,,,,Caching involves storing copies of frequently accessed data in memory  reducing the need to fetch it from the database or compute it again  improving performance.
Back-End Development,What is Redis?,Redis is an in-memory data structure store used as a database, cache, and message broker, often used to improve the speed and scalability of applications.,,,,,,,,Redis is an in-memory data structure store used as a database  cache  and message broker  often used to improve the speed and scalability of applications.
Back-End Development,What is a message queue?,A message queue is a communication mechanism that enables asynchronous communication between different parts of a system, allowing tasks to be processed independently and efficiently.,,,,,,,,,,A message queue is a communication mechanism that enables asynchronous communication between different parts of a system  allowing tasks to be processed independently and efficiently.
Back-End Development,What is a container in back-end development?,A container is a lightweight, standalone, and executable software package that includes everything needed to run an application, including the code, runtime, system tools, and libraries.,,,,,A container is a lightweight  standalone  and executable software package that includes everything needed to run an application  including the code  runtime  system tools  and libraries.
Back-End Development,What is Docker?,Docker is an open-source platform used to develop, package, and deploy applications inside containers, providing consistency across different environments.,,,,,,,,Docker is an open-source platform used to develop  package  and deploy applications inside containers  providing consistency across different environments.
Back-End Development,What is Kubernetes?,Kubernetes is an open-source platform for automating the deployment, scaling, and management of containerized applications, typically used in conjunction with Docker.,,,,,,,,Kubernetes is an open-source platform for automating the deployment  scaling  and management of containerized applications  typically used in conjunction with Docker.
Back-End Development,What is the purpose of version control in back-end development?,Version control is used to track changes to code over time, allowing developers to collaborate, manage different versions of code, and ensure that the codebase is well-maintained.,,,,,,,,Version control is used to track changes to code over time  allowing developers to collaborate  manage different versions of code  and ensure that the codebase is well-maintained.
Back-End Development,What is Git?,Git is a distributed version control system that allows multiple developers to work on the same codebase, track changes, and manage versions efficiently.,,,,,,,,,Git is a distributed version control system that allows multiple developers to work on the same codebase  track changes  and manage versions efficiently.
Back-End Development,What is continuous integration (CI)?,Continuous integration is a practice in which code changes are automatically built, tested, and merged into the main codebase, ensuring early detection of errors and smoother deployments.,,,,,,,,Continuous integration is a practice in which code changes are automatically built  tested  and merged into the main codebase  ensuring early detection of errors and smoother deployments.
Back-End Development,What is continuous deployment (CD)?,Continuous deployment is the practice of automatically deploying code changes to production after passing automated tests, ensuring faster release cycles.,,,,,,,,,,Continuous deployment is the practice of automatically deploying code changes to production after passing automated tests  ensuring faster release cycles.
Back-End Development,What is a microservice?,A microservice is a small, independent service that performs a specific task and communicates with other services via APIs, often used in a distributed system.,,,,,,,,,A microservice is a small  independent service that performs a specific task and communicates with other services via APIs  often used in a distributed system.
