Domain,Question,,,,,,,,,,,,Answer
Front-End Development,What is Front-End Development?,Front-End Development focuses on building the user interface (UI) and experience (UX) of a web application, making it interactive, responsive, and user-friendly.,,,,,,,,Front-End Development focuses on building the user interface (UI) and experience (UX) of a web application  making it interactive  responsive  and user-friendly.
Front-End Development,What are the key skills needed for Front-End Development?,Key skills for Front-End Development include proficiency in HTML, CSS, JavaScript, and frameworks/libraries like React, Angular, or Vue.js.,,,,,,Key skills for Front-End Development include proficiency in HTML  CSS  JavaScript  and frameworks/libraries like React  Angular  or Vue.js.
Front-End Development,What is HTML?,HTML (HyperText Markup Language) is the standard markup language used to create the structure of web pages by defining elements like headings, paragraphs, and links.,,,,,,,,,HTML (HyperText Markup Language) is the standard markup language used to create the structure of web pages by defining elements like headings  paragraphs  and links.
Front-End Development,What is CSS?,CSS (Cascading Style Sheets) is used to describe the presentation and layout of a document written in HTML, controlling aspects like color, fonts, and positioning.,,,,,,,,CSS (Cascading Style Sheets) is used to describe the presentation and layout of a document written in HTML  controlling aspects like color  fonts  and positioning.
Front-End Development,What is JavaScript?,JavaScript is a programming language that allows developers to create dynamic and interactive content on web pages, such as forms, animations, and data updates.,,,,,,,,JavaScript is a programming language that allows developers to create dynamic and interactive content on web pages  such as forms  animations  and data updates.
Front-End Development,"What is the difference between inline, internal  and external CSS?",,,Inline CSS is written directly within HTML elements using the `style` attribute; internal CSS is placed within the `<style>` tag in the HTML `<head>`; external CSS is written in separate `.css` files linked to the HTML document.,,,,,,,,, Inline CSS is written directly within HTML elements using the `style` attribute; internal CSS is placed within the `<style>` tag in the HTML `<head>`; external CSS is written in separate `.css` files linked to the HTML document.
Front-End Development,What are CSS Flexbox and Grid?,CSS Flexbox and Grid are layout systems used to create flexible and responsive web designs. Flexbox allows elements to align and distribute space along a single axis, while Grid provides a two-dimensional layout system for more complex designs.,,,,,,,,,,CSS Flexbox and Grid are layout systems used to create flexible and responsive web designs. Flexbox allows elements to align and distribute space along a single axis  while Grid provides a two-dimensional layout system for more complex designs.
Front-End Development,What is the DOM (Document Object Model)?,The DOM is a hierarchical representation of the structure of a web page, where each element (such as a paragraph or image) is treated as an object that can be manipulated with JavaScript.,,,,,,,,,,The DOM is a hierarchical representation of the structure of a web page  where each element (such as a paragraph or image) is treated as an object that can be manipulated with JavaScript.
Front-End Development,What is jQuery?,jQuery is a fast, small, and feature-rich JavaScript library that simplifies tasks like DOM manipulation, event handling, and AJAX requests across different browsers.,,,,,,,jQuery is a fast  small  and feature-rich JavaScript library that simplifies tasks like DOM manipulation  event handling  and AJAX requests across different browsers.
Front-End Development,What is responsive web design?,Responsive web design is an approach that ensures web pages look good and function properly on various devices (desktops, tablets, smartphones) by using flexible layouts, images, and CSS media queries.,,,,,,,Responsive web design is an approach that ensures web pages look good and function properly on various devices (desktops  tablets  smartphones) by using flexible layouts  images  and CSS media queries.
