Domain,Question,,,,,,,,,,,,Answer
Project Management,What is project management?,Project management is the practice of planning, executing, and controlling resources to achieve specific goals within a defined timeframe.,,,,,,,,,Project management is the practice of planning  executing  and controlling resources to achieve specific goals within a defined timeframe.
Project Management,What are the five phases of project management?,The five phases are Initiation, Planning, Execution, Monitoring and Controlling, and Closing.,,,,,,,The five phases are Initiation  Planning  Execution  Monitoring and Controlling  and Closing.
Project Management,What is a project charter?,A project charter is a formal document that authorizes the project, defines its objectives, and outlines key stakeholders and deliverables.,,,,,,,,,A project charter is a formal document that authorizes the project  defines its objectives  and outlines key stakeholders and deliverables.
Project Management,What is a Gantt chart?,A Gantt chart is a visual representation of a project schedule, showing tasks, durations, and dependencies over time.,,,,,,,,A Gantt chart is a visual representation of a project schedule  showing tasks  durations  and dependencies over time.
Project Management,What is the role of a project manager?,A project manager oversees the planning, execution, and delivery of a project, ensuring goals are met within scope, time, and budget.,,,,,,A project manager oversees the planning  execution  and delivery of a project  ensuring goals are met within scope  time  and budget.
Project Management,What is the critical path in project management?,The critical path is the longest sequence of dependent tasks that determines the shortest time to complete a project.,,,,,,,,,,,The critical path is the longest sequence of dependent tasks that determines the shortest time to complete a project.
Project Management,What is risk management in projects?,Risk management involves identifying, assessing, and mitigating risks that could impact the project’s success.,,,,,,,,,Risk management involves identifying  assessing  and mitigating risks that could impact the project’s success.
Project Management,What is a stakeholder in project management?,A stakeholder is any individual, group, or organization affected by or having an interest in the project’s outcome.,,,,,,,,,A stakeholder is any individual  group  or organization affected by or having an interest in the project’s outcome.
Project Management,What is the difference between Agile and Waterfall project management?,Agile is an iterative, flexible approach, while Waterfall is a linear, sequential approach to managing projects.,,,,,,,,Agile is an iterative  flexible approach  while Waterfall is a linear  sequential approach to managing projects.
Project Management,What is scope creep?,Scope creep refers to uncontrolled changes or continuous expansion in a project’s scope, often leading to delays and budget overruns.,,,,,,,,,,Scope creep refers to uncontrolled changes or continuous expansion in a project’s scope  often leading to delays and budget overruns.
Project Management,What is a Work Breakdown Structure (WBS)?,A WBS is a hierarchical decomposition of a project into smaller, manageable tasks or components.,,,,,,,,,,A WBS is a hierarchical decomposition of a project into smaller  manageable tasks or components.
Project Management,What is the purpose of a project schedule?,A project schedule outlines the timeline, tasks, milestones, and resources required to complete the project.,,,,,,,,A project schedule outlines the timeline  tasks  milestones  and resources required to complete the project.
Project Management,What is a milestone in project management?,A milestone is a significant point or event in the project lifecycle used to track progress.,,,,,,,,,,,A milestone is a significant point or event in the project lifecycle used to track progress.
Project Management,What is the triple constraint in project management?,The triple constraint consists of scope, time, and cost, which are interdependent factors affecting a project’s success.,,,,,,,,The triple constraint consists of scope  time  and cost  which are interdependent factors affecting a project’s success.
Project Management,What is the difference between a risk and an issue?,A risk is a potential event that could impact the project, while an issue is a current problem that needs resolution.,,,,,,,,,,A risk is a potential event that could impact the project  while an issue is a current problem that needs resolution.
Project Management,What is resource allocation?,Resource allocation is the process of assigning available resources, such as personnel or materials, to project tasks.,,,,,,,,,Resource allocation is the process of assigning available resources  such as personnel or materials  to project tasks.
Project Management,What is a project baseline?,A project baseline is a fixed reference point for scope, schedule, and cost, used to measure project performance.,,,,,,,,A project baseline is a fixed reference point for scope  schedule  and cost  used to measure project performance.
Project Management,What is the purpose of a kick-off meeting?,A kick-off meeting aligns all stakeholders, communicates objectives, and sets expectations for the project.,,,,,,,,,A kick-off meeting aligns all stakeholders  communicates objectives  and sets expectations for the project.
Project Management,What is a project deliverable?,A deliverable is a tangible or intangible output or result produced during a project, such as a report or product.,,,,,,,,,,A deliverable is a tangible or intangible output or result produced during a project  such as a report or product.
Project Management,What is earned value management (EVM)?,EVM is a project management technique that combines scope, schedule, and cost data to assess project performance.,,,,,,,,,EVM is a project management technique that combines scope  schedule  and cost data to assess project performance.
Project Management,What is a project lifecycle?,The project lifecycle encompasses the stages a project goes through from initiation to closure.,,,,,,,,,,,The project lifecycle encompasses the stages a project goes through from initiation to closure.
Project Management,What is change management in projects?,Change management involves assessing, approving, and implementing changes to a project’s scope, schedule, or budget.,,,,,,,Change management involves assessing  approving  and implementing changes to a project’s scope  schedule  or budget.
Project Management,What is a dependency in project management?,A dependency is a relationship between tasks, where one task relies on the completion or start of another.,,,,,,,,,,A dependency is a relationship between tasks  where one task relies on the completion or start of another.
Project Management,What is a project scope statement?,A project scope statement defines the project’s objectives, deliverables, boundaries, and exclusions.,,,,,,,,A project scope statement defines the project’s objectives  deliverables  boundaries  and exclusions.
Project Management,What is a burn-down chart?,A burn-down chart is a graphical representation of work remaining versus time, used in Agile project management.,,,,,,,,,,A burn-down chart is a graphical representation of work remaining versus time  used in Agile project management.
Project Management,What is the purpose of a project status report?,A project status report communicates progress, risks, and issues to stakeholders, ensuring alignment and transparency.,,,,,,,,A project status report communicates progress  risks  and issues to stakeholders  ensuring alignment and transparency.
Project Management,What is the difference between qualitative and quantitative risk analysis?,Qualitative risk analysis prioritizes risks based on likelihood and impact, while quantitative risk analysis uses numerical data for evaluation.,,,,,,,,,,Qualitative risk analysis prioritizes risks based on likelihood and impact  while quantitative risk analysis uses numerical data for evaluation.
