Domain,Question,,,,,,,,,,,,Answer
Database Administration,What is database administration?,Database administration involves the management, optimization, backup, and maintenance of databases to ensure their efficient operation, availability, and security.,,,,,,Database administration involves the management  optimization  backup  and maintenance of databases to ensure their efficient operation  availability  and security.
Database Administration,What is the role of a database administrator (DBA)?,A DBA is responsible for maintaining, securing, and ensuring the performance of databases. They handle tasks such as installation, configuration, tuning, backups, and data recovery.,,,,,A DBA is responsible for maintaining  securing  and ensuring the performance of databases. They handle tasks such as installation  configuration  tuning  backups  and data recovery.
Database Administration,What are the different types of databases?,Common types of databases include relational databases (RDBMS), NoSQL databases, in-memory databases, and hierarchical databases.,,,,,,,,Common types of databases include relational databases (RDBMS)  NoSQL databases  in-memory databases  and hierarchical databases.
Database Administration,What is an RDBMS?,An RDBMS (Relational Database Management System) is a database management system that stores data in a structured format, using rows and columns (tables) to organize data.,,,,,,,,,,An RDBMS (Relational Database Management System) is a database management system that stores data in a structured format  using rows and columns (tables) to organize data.
Database Administration,What is SQL?,SQL (Structured Query Language) is a standardized programming language used to manage and manipulate relational databases, including tasks like querying, updating, and managing data.,,,,,,,,SQL (Structured Query Language) is a standardized programming language used to manage and manipulate relational databases  including tasks like querying  updating  and managing data.
Database Administration,What are the different types of relationships in a database?,The common types of relationships are one-to-one, one-to-many, and many-to-many, which describe how tables are related to each other.,,,,,,,,The common types of relationships are one-to-one  one-to-many  and many-to-many  which describe how tables are related to each other.
Database Administration,What is normalization?,Normalization is the process of organizing data in a database to reduce redundancy and improve data integrity by dividing a large table into smaller tables and using relationships to link them.,,,,,,,,,,,Normalization is the process of organizing data in a database to reduce redundancy and improve data integrity by dividing a large table into smaller tables and using relationships to link them.
Database Administration,What are the different normal forms in database normalization?,The first three normal forms (1NF, 2NF, and 3NF) are the most commonly used. They aim to eliminate redundancy, ensure data dependencies are logical, and organize data efficiently.,,,,,,,The first three normal forms (1NF  2NF  and 3NF) are the most commonly used. They aim to eliminate redundancy  ensure data dependencies are logical  and organize data efficiently.
Database Administration,What is denormalization?,Denormalization is the process of merging tables or adding redundant data to improve read performance at the cost of potential data anomalies and redundancy.,,,,,,,,,,,Denormalization is the process of merging tables or adding redundant data to improve read performance at the cost of potential data anomalies and redundancy.
Database Administration,What is a primary key?,A primary key is a unique identifier for a record in a table. It ensures that each record is distinct and prevents duplicate entries.,,,,,,,,,,,A primary key is a unique identifier for a record in a table. It ensures that each record is distinct and prevents duplicate entries.
